Title,Year,Age,IMDb,Rotten Tomatoes
Too Hot to Handle,2020,18,46.0,61
Are You The One?,2014,16,65.0,61
Little Things,2016,18,83.0,61
Still Game,2002,16,88.0,61
Transformers: Prime,2010,7,79.0,61
Henry Danger,2014,0,57.0,61
Tidying Up with Marie Kondo,2019,7,66.0,61
Nightflyers,2018,18,59.0,61
Love 101,2020,18,75.0,61
Car Masters: Rust to Riches,2018,7,88.0,61
WHAT / IF,2019,18,63.0,61
Total Drama Island,2007,7,72.0,61
Roman Empire,2016,16,70.0,61
Deadwind,2018,18,72.0,61
People Just Do Nothing,2014,18,85.0,61
B: The Beginning,2018,18,72.0,61
Somebody Feed Phil,2018,16,82.0,61
Girl from Nowhere,2018,18,77.0,61
Cocaine Coast,2018,18,79.0,61
The Liberator,2020,7,76.0,61
The Irregular at Magic High School,2014,16,72.0,61
Hap and Leonard,2016,18,77.0,61
Dark Desire,2020,18,65.0,61
Seis Manos,2019,18,72.0,61
Control Z,2020,18,69.0,61
The House of Flowers,2018,18,76.0,61
America's Next Top Model,2003,7,55.0,61
Tribes of Europa,2021,18,68.0,61
Somos.,2021,18,72.0,61
The Great Heist,2020,18,73.0,61
The One,2021,18,66.0,61
Carmen Sandiego,2019,7,79.0,61
The Chef Show,2019,18,82.0,61
Traitors,2019,18,66.0,61
Wet Hot American Summer: Ten Years Later,2017,16,69.0,61
The Neighbor,2019,18,66.0,60
Billy on the Street,2011,16,78.0,60
October Faction,2020,18,62.0,60
Start-Up,2020,16,81.0,60
Night on Earth,2020,7,82.0,60
DOTA: Dragon's Blood,2021,18,80.0,60
The Break,2016,18,76.0,60
The Letter for the King,2020,7,59.0,60
Osmosis,2019,16,59.0,60
Another Life,2019,18,50.0,60
Ju-On: Origins,2020,18,61.0,60
Diagnosis,2019,18,77.0,60
The Eddy,2020,18,72.0,60
Magi,2012,16,78.0,60
Elite Short Stories: Guzmán Caye Rebe,2021,18,75.0,60
Memories of the Alhambra,2018,16,78.0,60
Pacific Rim: The Black,2021,16,71.0,60
