Title,Year,Age,IMDb,Rotten Tomatoes
northern rescue,2019,16,71.0,57
equinox,2020,18,61.0,57
oggy and the cockroaches,1999,0,73.0,57
code lyoko,2003,7,73.0,57
champions,2018,16,61.0,57
winx club,2004,0,62.0,57
dragons: race to the edge,2015,7,83.0,57
vexed,2010,7,73.0,56
family business,2019,16,74.0,56
bunk'd,2015,0,54.0,56
cathedral of the sea,2018,16,75.0,56
history 101,2020,7,68.0,56
cooked,2016,7,81.0,56
monarca,2019,18,79.0,56
indian matchmaking,2020,16,62.0,56
perfume,2018,18,71.0,56
avlu,2018,18,72.0,56
wild district,2018,18,83.0,56
magic for humans,2018,16,72.0,56
50m2,2021,18,70.0,56
mako mermaids: an h2o adventure,2013,0,68.0,56
extracurricular,2020,18,77.0,56
tunnel,2017,16,83.0,56
marseille,2016,18,69.0,56
elite short stories: nadia guzmán,2021,18,64.0,56
the rise of phoenixes,2018,7,86.0,56
wakfu,2008,7,82.0,56
how to fix a drug scandal,2020,18,70.0,56
betaal,2020,18,54.0,56
sin senos sí hay paraíso,2016,16,67.0,56
japan sinks: 2020,2020,18,64.0,56
girlfriends,2000,7,72.0,56
mobile suit gundam: iron-blooded orphans,2015,18,79.0,56
curon,2020,18,58.0,56
the method,2015,18,74.0,56
amend: the fight for america,2021,18,79.0,56
the crew,2021,16,66.0,56
sex explained,2020,18,69.0,56
unauthorized living,2018,18,75.0,56
james acaster: repertoire,2018,18,85.0,56
blood & water,2020,18,64.0,56
adventures of sonic the hedgehog,1993,7,62.0,55
rust valley restorers,2018,16,78.0,55
immortals,2018,7,53.0,55
cheese in the trap,2016,16,74.0,55
terrace house: boys & girls in the city,2015,7,81.0,55
my secret romance,2017,16,71.0,55
marlon,2017,7,71.0,55
the bonfire of destiny,2019,16,77.0,55
100 days my prince,2018,16,77.0,55
let's eat,2013,16,77.0,55
kung fu panda: legends of awesomeness,2011,7,68.0,55
pj masks,2015,0,55.0,55
incomplete life,2014,16,86.0,55
when heroes fly,2018,7,72.0,55
the last o.g.,2018,7,69.0,55
dc super hero girls,2019,7,71.0,55
wheel of fortune,1983,0,67.0,55
chelsea does,2016,18,72.0,55
girlfriends' guide to divorce,2014,16,69.0,55
daniel sloss: live shows,2018,18,86.0,55
case,2015,16,71.0,55
always a witch,2019,16,62.0,55
the boulet brothers' dragula,2016,18,79.0,55
lovestruck in the city,2020,16,78.0,55
bitter daisies,2018,18,72.0,55
selection day,2018,16,74.0,55
"bring it on, ghost",2016,16,76.0,55
(the hook up plan),2018,16,72.0,55
because this is my first life,2017,16,81.0,55
medal of honor,2018,16,84.0,55
"coronavirus, explained",2020,7,76.0,55
teen mom 2,2011,7,43.0,55
kantaro: the sweet tooth salaryman,2017,7,75.0,55
al hayba,2017,7,74.0,55
somewhere between,2017,16,63.0,55
selling sunset,2019,18,63.0,55
